DisplayName,ServerAddress
Australia - Sydney - au-stream,au-stream.jumptoserver.com
Australia - Sydney - au-01,au-01.jumptoserver.com
Australia - Sydney - au-02,au-02.jumptoserver.com
Austria - Vienna - at-stream,at-stream.jumptoserver.com
Austria - Wien - at-01,at-01.jumptoserver.com
Belgium - Brussels - bel-stream,bel-stream.jumptoserver.com
Belgium - Brussel - bel-01,bel-01.jumptoserver.com
Brazil - null - br-cf,br-cf.jumptoserver.com
Bulgaria - Sofia - bg-01,bg-01.jumptoserver.com
Canada - Montreal - hk-dbl,hk-dbl.jumptoserver.com
Canada - Montreal - ca-stream,ca-stream.jumptoserver.com
Canada - Montreal - ca-01,ca-01.jumptoserver.com
Colombia - Bogota - clmb,clmb.jumptoserver.com
Czech Republic - Prague - cz-01,cz-01.jumptoserver.com
Denmark - null - dk-01,dk-01.jumptoserver.com
Finland - Helsinki - fi2,fi2.jumptoserver.com
Finland - Helsinki - fi,fi.jumptoserver.com
Finland - Helsinki - fi,fi.jumptoserver.com
Finland - Helsinki - fi-p2p,fi-p2p.jumptoserver.com
France - Paris - fr,fr.jumptoserver.com
France - Paris - uk-dbl,uk-dbl.jumptoserver.com
Germany - null - es-dbl,es-dbl.jumptoserver.com
Germany - null - de-dus1,de-dus1.jumptoserver.com
Germany - null - de-dus2,de-dus2.jumptoserver.com
Germany - null - de-dus1,de-dus1.jumptoserver.com
Germany - Dusseldorf - de-dus2,de-dus2.jumptoserver.com
Germany - Frankfurt - de-01,de-01.jumptoserver.com
Greece - Athina - grc,grc.jumptoserver.com
Hong Kong - HK - hk,hk.jumptoserver.com
Hungary - Budapest - hng,hng.jumptoserver.com
India - Mumbai - in-vr,in-vr.jumptoserver.com
India - Mumbai - in-vr,in-vr.jumptoserver.com
Ireland - Dublin - ie-stream,ie-stream.jumptoserver.com
Ireland - Dublin - ir,ir.jumptoserver.com
Italy - milan - it-01,it-01.jumptoserver.com
Italy - Assago - it-stream,it-stream.jumptoserver.com
Japan - Tokyo - jp-stream,jp-stream.jumptoserver.com
Japan - Tokyo - jp-01,jp-01.jumptoserver.com
Luxembourg - null - lux1,lux1.jumptoserver.com
Malaysia - null - my-cf,my-cf.jumptoserver.com
Mexico - null - mx-cf,mx-cf.jumptoserver.com
Netherlands - null - nl-01,nl-01.jumptoserver.com
Netherlands - null - nl-02,nl-02.jumptoserver.com
Norway - Oslo - nr-01,nr-01.jumptoserver.com
Poland - Gdansk - pl,pl.jumptoserver.com
Portugal - Lisbon - pt,pt.jumptoserver.com
Portugal - null - pt,pt.jumptoserver.com
Romania - Bucharest - ro-01,ro-01.jumptoserver.com
Russia - Moscow - ru-vr,ru-vr.jumptoserver.com
Russia - Moscow - ru-vr,ru-vr.jumptoserver.com
Serbia - Belgrade - rs-01,rs-01.jumptoserver.com
Singapore - Singapore - sg-01,sg-01.jumptoserver.com
Slovakia - Bratislava - svk,svk.jumptoserver.com
South Africa - Johannesburg - sa-jn,sa-jn.jumptoserver.com
South Korea - Seoul - kr,kr.jumptoserver.com
Spain - Barcelona - es-01,es-01.jumptoserver.com
Spain - Barcelona - es-01,es-01.jumptoserver.com
Sweden - Stockholm - se-01,se-01.jumptoserver.com
Switzerland - Zurich - ch-01,ch-01.jumptoserver.com
Switzerland - Zurich - ch-01,ch-01.jumptoserver.com
Turkey - Izmir - tr,tr.jumptoserver.com
UAE - Dubai - uae,uae.jumptoserver.com
Ukraine - Kyyiv - ur-kv,ur-kv.jumptoserver.com
United Kingdom - London - uk-01,uk-01.jumptoserver.com
United Kingdom - London - us-dbl1,us-dbl1.jumptoserver.com
United Kingdom - London - uk-streaming,uk-streaming.jumptoserver.com
United Kingdom - London - uk-02,uk-02.jumptoserver.com
USA - Atlanta - us-at,us-at.jumptoserver.com
USA - Seattle - us-se,us-se.jumptoserver.com
USA - Ashburn - us-ash,us-ash.jumptoserver.com
USA - New York - us-ny1,us-ny1.jumptoserver.com
USA - Anchorage - nl-dbl,nl-dbl.jumptoserver.com
USA - Los Angeles - us-la,us-la.jumptoserver.com
USA - Washington - us-wt1,us-wt1.jumptoserver.com
USA - Dallas - us-dl,us-dl.jumptoserver.com
USA - Miami - us-mia,us-mia.jumptoserver.com
USA - Fargo - us-ash-stream,us-ash-stream.jumptoserver.com
USA - Denver - us-dv1,us-dv1.jumptoserver.com
USA - Chicago - us-ch,us-ch.jumptoserver.com
